Day,Stock A,Stock B,Interest Rate,Soybean Futures,Oil Price,EUR/USD,Rainfall,Social Media Sentiment
1,100,100,2.66,9.07,46.31,1.1465,0.76,very bearish
2,104.98,96.27,2.56,9.1275,46.92,1.1338,0.01,neutral
3,94.79,92.32,2.67,9.215,47.76,1.1394,0,bearish
4,92.4,92.82,2.7,9.2425,48.27,1.1396,0.06,neutral
5,89.52,91.73,2.73,9.185,49.58,1.1396,1.02,bearish
6,83.21,95.51,2.74,9.24,52.19,1.1476,0,neutral
7,83.13,98.74,2.74,9.0675,52.42,1.144,0,neutral
8,86.49,105.19,2.71,9.1025,51.44,1.1546,0,neutral
9,89.82,104.01,2.71,9.035,50.31,1.1499,0.26,bearish
10,85.54,104.63,2.72,8.9325,51.8,1.147,0,neutral
11,84.12,104.45,2.73,8.945,52.08,1.147,0,bearish
12,82.01,97.46,2.75,9.0775,51.83,1.1468,0.07,very bearish
13,75.14,89.29,2.79,9.1675,53.6,1.1406,0,very bearish
14,78.77,92.71,2.74,9.0925,52.59,1.1396,0,neutral
15,79.12,91.2,2.76,9.15,52.44,1.1388,0,bullish
16,79.07,89.66,2.72,9.16,52.94,1.1372,0,bearish
17,76.5,88.82,2.76,9.2525,53.53,1.1372,0,bullish
18,79.61,87.21,2.75,9.2325,51.79,1.137,0,very bearish
19,78.61,89.04,2.72,9.19,53.07,1.1362,0,neutral
20,76.66,88.47,2.7,9.21,54.18,1.1379,0.14,bearish
21,81.22,91.43,2.63,9.1525,53.84,1.1307,0,very bullish
22,75.7,94.11,2.7,9.1775,55.29,1.14,0,neutral
23,76.12,91.15,2.73,9.185,54.57,1.14,0.54,very bearish
24,81.49,93.42,2.71,9.2025,53.69,1.1428,0.98,neutral
25,81.12,92.71,2.7,9.2175,53.94,1.1435,0,bearish
26,85.55,95.89,2.65,9.1325,52.68,1.1482,0,very bearish
27,84.97,91.43,2.63,9.145,52.75,1.1446,0,very bearish
28,85.09,93.78,2.65,9.05,52.43,1.1457,0,neutral
29,84.22,95.62,2.68,9.175,53.14,1.1457,0,very bullish
30,82.75,96.78,2.71,9.165,53.84,1.1436,0,bullish
31,82.14,98.03,2.66,9.035,54.4,1.1406,0,very bearish
32,82.28,100.56,2.66,9.075,55.58,1.1364,0,very bullish
33,82.25,101.87,2.65,9.0075,56.12,1.1343,0,neutral
34,81.7,101.31,2.65,9.025,56.9,1.1335,0.26,bearish
35,80.59,98.12,2.69,9.11,56.95,1.1335,0,neutral
36,82.25,96.07,2.65,9.1025,57.01,1.1276,0,bearish
37,89.23,96.58,2.67,9.144,55.32,1.1329,1.49,bearish
38,90.05,93.8,2.64,9.0905,55.4,1.1255,0.01,bearish
39,84,93.41,2.69,9.1145,56.92,1.1296,0.01,neutral
40,81.97,93.45,2.73,9.077,57.21,1.1296,0.02,neutral
41,85.46,93.05,2.76,9.115,55.76,1.1296,0.2,neutral
42,85.68,94.45,2.72,9.16,56.6,1.131,0.02,bearish
43,86.08,96.87,2.72,9.1375,56.55,1.1338,0,neutral
44,87.41,99.72,2.69,9.02,56.22,1.1345,0,very bearish
45,88.92,100.69,2.64,9.025,56.6,1.1339,0,bearish
46,91.28,101.76,2.62,8.9575,55.77,1.1342,0,very bearish
47,85.88,99.5,2.64,8.9,56.79,1.1342,0,very bearish
48,85.8,97.52,2.61,8.97,56.89,1.1358,0,very bearish
49,84.45,100.44,2.61,9.01,58.27,1.1392,0,bullish
50,83.77,100.38,2.63,8.985,58.59,1.1372,0,neutral